senator,ticker,owner,trade_date,amount,ret_3d,ret_5d,ret_10d,ret_20d
Pat Roberts,BA,Spouse,2020-11-16,32500.5,2.9367482300677317,5.92025422307243,4.290545839061544,11.453144935439541
Pat Roberts,V,Spouse,2020-11-16,32500.5,-1.0906945733956452,-0.7250488062046423,-1.6567823984313446,-3.9766062848333172
Pat Roberts,COST,Spouse,2020-11-24,32500.5,2.284390155295335,1.4442085697560003,-1.0321505345046944,-4.973613053120108
Pat Roberts,W,Joint,2020-11-17,32500.5,7.1056622028974665,0.3958651438846772,-0.19251152798340776,11.586681594152525
Pat Roberts,DAL,Spouse,2020-11-16,8000.5,1.0843116515100726,3.488329183718597,4.206359979999408,8.195393979507616
Pat Roberts,DIS,Spouse,2020-11-10,8000.5,-3.785597656256834,-0.17674681856498786,4.00758094901823,5.051085666415234
Thomas R Carper,V,Spouse,2020-11-20,8000.5,1.3753925278405132,1.2793867930139147,0.42910357621579465,-1.4514282021078406
Thomas R Carper,QCOM,Spouse,2020-11-20,8000.5,-3.3982098029291863,-1.113338412760334,4.805221186911535,-3.0064316230138166
Thomas R Carper,SNPS,Spouse,2020-11-20,8000.5,-2.744781800336371,2.2201999130454064,5.582508396754514,12.38405110011167
Thomas R Carper,GOLD,Spouse,2020-11-20,8000.5,-3.0782840577084025,-1.697493850919729,-5.280871204405779,-0.6266217742593838
Thomas R Carper,WIW,Spouse,2020-11-20,8000.5,-0.25259283767202767,0.17492279808972722,-0.25173491023902095,-0.002174972846469281
Thomas R Carper,ERIC,Spouse,2020-11-20,8000.5,-0.8242274165146002,-0.8205294357702453,-0.8996789012396977,-7.188075369174296
Thomas R Carper,SBIO,Spouse,2020-11-20,8000.5,-2.084040609540394,1.9122737252728506,1.4352360422371202,9.608205753482402
Thomas R Carper,ARE,Spouse,2020-11-20,8000.5,-3.0133301867744766,-2.143819816271819,0.33128813804874646,2.417206940381811
Thomas R Carper,LGI,Spouse,2020-11-20,8000.5,-0.39822085589866774,0.7813582062540902,-0.24579221079510383,1.9672095424075664
Thomas R Carper,ABYIX,Spouse,2020-11-20,8000.5,-1.7981166749872157,-1.4527332387028302,-2.5485223148717484,-1.666412246456117
Thomas R Carper,MRVL,Spouse,2020-11-20,8000.5,-0.6070184027770598,3.4062456002115438,-3.4629613684737937,3.5164919167884
Thomas R Carper,BRKR,Spouse,2020-11-20,8000.5,-3.120892767809158,-2.658143150984893,2.206609848910057,2.817338749562981
Thomas R Carper,ACIW,Spouse,2020-11-20,8000.5,1.173945901408091,-0.4934683340092505,15.610904652768332,14.582029887630554
Thomas R Carper,SWKS,Spouse,2020-11-20,8000.5,-5.225535648790059,-1.3384724099346101,5.408836561251308,1.2464174082704726
Thomas R Carper,SRVR,Spouse,2020-11-20,8000.5,-2.9084327579072533,-2.2886048932034053,-4.689784172127565,-5.016472559260244
Thomas R Carper,CEF,Spouse,2020-11-20,8000.5,-6.132347176494624,-7.97108362990756,-4.035220172881293,-0.49501307121884164
Thomas R Carper,XAR,Spouse,2020-11-20,8000.5,3.7375283663884984,0.5740248406750359,6.528021103572735,3.4299491645766844
Thomas R Carper,GLD,Spouse,2020-11-20,8000.5,-5.580459068234889,-7.028076163053821,-4.327787588399801,-3.8594623090383307
Thomas R Carper,GMAB,Spouse,2020-11-20,8000.5,-3.7601275453806537,3.7999244945976507,0.4801491073547215,5.339814322845249
Thomas R Carper,BAH,Spouse,2020-11-20,8000.5,-1.1338793944118075,-2.3527548841512425,-2.2323067976776523,-3.4170550965654467
Thomas R Carper,LDP,Spouse,2020-11-20,8000.5,-1.1686111970854451,0.4636701836104873,-1.9212117508220272,1.6982160406336932
Thomas R Carper,ABBV,Spouse,2020-11-20,8000.5,1.2691244388293832,1.8148390525800417,1.0859320050893517,-1.1214996808405875
Thomas R Carper,FDN,Spouse,2020-11-20,8000.5,0.08120994043927521,1.556479242888953,0.5404216193922062,4.224858203508819
Thomas R Carper,FTNT,Spouse,2020-11-20,8000.5,-0.5898188806575222,2.4320753421930075,4.559658760078355,19.601637620085377
Thomas R Carper,RTH,Spouse,2020-11-20,8000.5,0.19099294901352426,0.4505409998968757,-2.0524863980719843,-2.1263494790013215
Thomas R Carper,NTLA,Spouse,2020-11-20,8000.5,8.821459842201087,19.534541385035872,40.19064119880178,90.0027043428958
Thomas R Carper,RODM,Spouse,2020-11-20,8000.5,-1.1986596561907037,-2.3981810892908295,-2.6120841387430094,-1.915042775335274
Thomas R Carper,PTLC,Spouse,2020-11-20,8000.5,-0.01750576066017473,-0.040401500947684355,0.026561110265155286,-0.08352025444868794
Thomas R Carper,PTNQ,Spouse,2020-11-20,8000.5,-0.9015050832693605,-0.3321546882578241,-0.5884947798048268,-0.27739778041557805
Thomas R Carper,PTMC,Spouse,2020-11-20,8000.5,-0.8310562725250215,-1.4834114926770559,-1.8383196377903754,-0.9870217254043911
Thomas R Carper,DGRS,Spouse,2020-11-20,8000.5,2.142306871292843,-0.22577164075607836,1.9320594181439388,3.56906813240514
Thomas R Carper,GBIL,Spouse,2020-11-20,8000.5,-2.072880418399836,-1.9040160410656926,-3.8923997732740467,-3.9875701279309395
Thomas R Carper,KEYS,Spouse,2020-11-20,8000.5,-0.039999067181706316,1.4372963133538086,3.651023479145188,5.329114371852618
Thomas R Carper,PAGS,Spouse,2020-11-20,8000.5,11.021439969945668,9.35804180753539,7.450089977118157,23.046732740085176
