ticker,trans_date,filing_date,lag_days,n_insiders,accept_time,trigger_class,r_trans_5d,r_filing_5d,r_filing_plus1_5d
NRGV,2025-09-19,2025-09-19,0,3,2025-09-19 16:35:39,after_close_same_day,-2.2890892781531678,-2.2890892781531678,-0.18402019189346053
NTHI,2025-05-23,2025-05-23,0,4,2025-05-24 01:31:11,unknown,-0.13238165254423118,-0.13238165254423118,-1.105547252422957
NUVB,2025-06-18,2025-06-18,0,5,2025-06-18 20:05:21,after_close_same_day,7.3378075191912,7.3378075191912,-5.501866999650735
NVCT,2025-11-05,2025-11-06,1,4,2025-11-06 08:01:11,pre_open_same_day,5.515697817442126,4.151089190019122,-2.097484940004306
OBDC,2025-11-18,2025-11-19,1,4,2025-11-19 17:21:14,after_close_same_day,7.353677938155366,7.117815966822027,4.747031952573065
OMCC,2024-12-18,2024-12-19,1,4,2024-12-19 13:50:40,intraday_same_day,-3.2461758185929965,-3.520277971235065,-0.16549871993054988
OPK,2024-02-07,2024-02-07,0,3,2024-02-07 17:09:25,after_close_same_day,2.9056479128742643,2.9056479128742643,-0.740472022361471
OPRT,2024-12-11,2024-12-11,0,3,2024-12-11 17:32:20,after_close_same_day,-3.249100834143996,-3.249100834143996,2.758176330430283
ORN,2024-03-07,2024-03-07,0,3,2024-03-07 17:13:00,after_close_same_day,13.645712836204751,13.645712836204751,-4.780822591446645
OUST,2024-05-15,2024-05-16,1,3,2024-05-16 20:40:34,after_close_same_day,-4.968109865029317,-2.9141652967786396,-11.331947983274365
OWL,2025-12-02,2025-12-03,1,4,2025-12-03 22:13:16,after_close_same_day,11.58261537005735,5.209020456864509,-0.3870932309087133
PAL,2024-05-13,2024-05-13,0,3,2024-05-13 19:10:01,after_close_same_day,-2.62147508403777,-2.62147508403777,-4.107687311913927
PCSA,2024-02-07,2024-02-08,1,4,2024-02-08 16:30:43,after_close_same_day,5.286816693179725,4.000907287983356,-0.06442042289478389
PDYN,2024-06-10,2024-06-11,1,3,2024-06-11 19:20:19,after_close_same_day,-4.382874627690016,-19.765761059989448,-20.180590181838138
PENN,2025-05-22,2025-05-22,0,3,2025-05-22 21:53:27,after_close_same_day,0.07916103653792872,0.07916103653792872,-4.337843885232651
PEW,2025-08-20,2025-08-20,0,3,2025-08-20 17:30:44,after_close_same_day,5.460917563037112,5.460917563037112,-0.6357762894484524
PLAY,2024-12-19,2024-12-19,0,4,2024-12-19 21:30:03,after_close_same_day,9.359471567432479,9.359471567432479,4.327778671839233
PNFP,2025-08-07,2025-08-08,1,5,,not_found_no_same_day_filing,4.440711329761253,1.5865041051896165,3.139569868759394
POCI,2024-08-15,2024-08-16,1,3,2024-08-16 20:30:33,after_close_same_day,-0.5695372984111774,-0.6355544619937241,0.17899845042115958
PRGO,2025-08-22,2025-08-22,0,4,2025-08-22 17:27:37,after_close_same_day,-1.8243940313801836,-1.8243940313801836,0.34345183009693164
PRMB,2025-11-13,2025-11-14,1,4,2025-11-14 08:00:15,pre_open_same_day,-5.251415939505531,-6.423645893575693,-4.807510258274171
PRME,2025-05-21,2025-05-22,1,3,2025-05-22 16:22:45,after_close_same_day,6.920945771811266,-5.145503906597522,-10.100383510829925
PTLO,2025-08-11,2025-08-11,0,4,2025-08-11 17:47:19,after_close_same_day,-6.0012995706438,-6.0012995706438,-6.739774308640181
QSI,2024-08-12,2024-08-13,1,4,2024-08-13 06:01:28,pre_open_same_day,15.422119746197964,4.618720454611491,11.539944227064566
QTRX,2025-06-13,2025-06-13,0,3,2025-06-13 20:39:15,after_close_same_day,3.1355627008959672,3.1355627008959672,-5.353938313186734
RCUS,2025-02-27,2025-02-27,0,3,2025-02-27 19:06:05,after_close_same_day,3.5262118514946454,3.5262118514946454,-8.956225114019867
RDW,2025-03-19,2025-03-20,1,3,2025-03-20 20:18:29,after_close_same_day,-3.7989639969824793,-13.248919781395903,-21.71570073490484
RDW,2025-11-14,2025-11-14,0,3,2025-11-14 21:07:20,after_close_same_day,-0.11342239634451423,-0.11342239634451423,-1.922207026425308
REFI,2025-10-15,2025-10-16,1,5,2025-10-16 18:11:09,after_close_same_day,2.673061612270047,3.5376806601982844,-2.238183684350701
REKR,2024-05-21,2024-05-22,1,3,2024-05-22 07:08:51,pre_open_same_day,8.682205634648724,5.657194708907414,19.599460415263675
RGEN,2024-06-14,2024-06-14,0,3,2024-06-14 18:07:59,after_close_same_day,-1.883428561147905,-1.883428561147905,-0.8713890701787493
RGP,2025-04-07,2025-04-08,1,3,2025-04-08 17:43:30,after_close_same_day,-0.6498686300681209,-2.401948790067027,-0.09302989244206561
