ticker,purchase_date,prior_5d_drop,value,exec_name,exec_title,ar_5d,ar_10d,ar_20d
MITT,2020-03-12,-0.3538362874743231,534000.0,ROBERTS DAVID N,CEO and President,-0.4422459741051854,-0.5893525705461162,-0.730282688799615
THRY,2022-12-08,-0.07684205707750823,176500.0,Walsh Joe,Chairman and CEO,0.024927831777948117,0.0687365758878651,0.10275626593912328
CLF,2021-12-01,-0.13386169664168887,988500.0,,"Chairman, President & CEO",0.024645642183394798,0.0005819105636039219,0.03943147722239135
COLB,2022-02-24,-0.061405745479998934,100350.00000000001,Deer Aaron James,EVP Chief Financial Officer,-0.05406374196674932,-0.00586509348633512,-0.1157834477305863
UPLD,2022-08-19,-0.053744545361202246,214600.0,MCDONALD JOHN T,CEO,0.0026786640777172084,-0.09830068568123715,-0.1512766679534449
RILY,2020-03-16,-0.1455604075654939,108479.99999999999,Moore Andrew,"CEO of B. Riley FBR, Inc.",-0.10056934313348066,-0.04890589558547595,-0.12587346588827425
RYAN,2022-11-16,-0.24608042659582266,2775385.5999999996,RYAN PATRICK G,Chief Executive Officer,0.11585625046160646,0.18109535688775463,0.1840088283902415
LIQT,2022-05-17,-0.5188679075529661,1000000.0,BUEHLER ALEXANDER J,Interim CEO,0.06437029629433078,-0.02593530552530878,-0.11213647570565129
DIBS,2021-08-17,-0.1599551922395229,643079.89,ROSENBLATT DAVID S,Chief Executive Officer,0.01722547146349857,0.04421510937084497,0.053466179778357686
PLAY,2022-12-08,-0.10640465208139488,141156.75,QUARTIERI MICHAEL,Chief Financial Officer,-0.002083977291643155,0.03054496294088782,0.18679601515884228
BTCS,2021-04-22,-0.11632658724027423,39951300.0,Allen Charles W,"CEO, CFO",0.033950480502634724,-0.17173303618160649,-0.17215137207824172
PSEC,2020-03-23,-0.14225054808165136,4140994.06,Barry John F,CHIEF EXECUTIVE OFFICER,-0.03443530696489008,-0.15166200536467056,-0.22842179759436504
OPK,2022-05-11,-0.103333314259847,1132000.0,FROST PHILLIP MD ET AL,CEO & Chairman,0.07519768801690477,0.05979909754043684,-0.07924023501241892
ZY,2021-11-17,-0.06856023506366317,1000000.0,FLATLEY JAY T,Chairman and Acting CEO,-0.0029275877046098173,-0.14504117757565949,-0.21172745486494862
AAT,2022-05-06,-0.060655737704566594,340900.00000000006,RADY ERNEST S,Chairman & CEO,-0.014776860763402393,-0.023708248865085386,-0.05046157931892698
VST,2021-05-06,-0.05861664713260736,980889.7000000001,MORGAN CURTIS A,CEO,0.03368479861482507,0.05626147740938224,0.09703014816879169
CGBD,2020-03-02,-0.062312312303499345,124000.0,Pace Linda,CEO & President,-0.015337867257457824,-0.316651258128256,-0.41458713705865113
FLL,2022-05-12,-0.27125,144300.0,LEE DANIEL R,President & CEO,-0.030287220955593625,0.0016412339807856877,0.02969518622612307
BW,2022-05-12,-0.24836601307189546,163500.0,Young Kenneth M,Chief Executive Officer,0.007978791463934282,0.0642414242987656,0.09337027760434631
