ticker,cluster_date,n_insiders,total_value,window_start,window_end,has_ceo,has_cfo,has_c_suite,titles_in_cluster,roles_in_cluster
ZMTP,2019-05-06,3,544999.4,2019-05-06,2019-05-06,True,True,True,President and COO|CEO and Acting CFO,"Director|Director,Officer|Officer"
AVTR,2019-05-17,3,15626613.54,2019-05-17,2019-05-17,False,False,False,,Director|TenPercentOwner
PROS,2019-07-25,4,640000.0,2019-07-25,2019-07-25,False,False,False,,Director|TenPercentOwner
AAACX,2019-10-01,3,3898376.67,2019-10-01,2019-10-01,False,False,False,President & Secretary|Treasurer,"Director,Officer,TenPercentOwner|Officer|TenPercentOwnerOther"
SPT,2019-12-13,4,10157527.28,2019-12-13,2019-12-13,False,False,False,,Director|TenPercentOwner
NONE,2019-12-30,3,37292682.0,2019-12-30,2019-12-30,True,False,True,CEO and President,"Director,Officer|TenPercentOwner"
TCFC,2019-12-31,3,324928.53,2019-12-31,2019-12-31,False,False,False,,Director
CODI,2020-01-03,6,618063.96,2020-01-03,2020-01-03,False,False,False,,Other
APTX,2020-01-10,5,4115001.0,2020-01-10,2020-01-10,True,False,True,CEO and President,"Director|Director,Officer|TenPercentOwner"
OSMT,2020-01-13,5,31250000.0,2020-01-13,2020-01-13,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
YCBD,2020-01-14,3,375000.0,2020-01-14,2020-01-14,True,False,True,CO-CEO|CO-CEO,"Director|Director,Officer|Director,Officer,TenPercentOwner"
TRN,2020-01-16,3,10181609.96,2020-01-13,2020-01-16,False,False,False,,"Director,TenPercentOwnerOther|TenPercentOwnerOther"
VCNX,2020-01-23,3,5699990.69,2020-01-23,2020-01-23,True,False,True,President and CEO,"Director|Director,Officer,TenPercentOwner|TenPercentOwner"
ADAP,2020-01-24,6,30150000.0,2020-01-24,2020-01-24,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
BRPM,2020-01-24,3,9456704.86,2020-01-09,2020-01-24,False,False,False,,Director|TenPercentOwner
IFF,2020-01-27,3,42885173.42,2019-12-30,2020-01-27,False,False,False,,TenPercentOwner
DFS,2020-01-27,4,1833807.68,2020-01-27,2020-01-27,True,True,True,"EVP, Pres. - Consumer Banking|EVP & Chief Financial Officer|EVP, Chief Legal Officer & GC|CEO and President","Director,Officer|Officer"
ANVS,2020-01-31,3,688248.4,2020-01-31,2020-01-31,False,True,True,Chief Financial Officer,"Director|Director,TenPercentOwner|Officer"
BDTX,2020-02-03,6,75856968.0,2020-02-03,2020-02-03,False,False,False,See Remarks,Director|Officer|TenPercentOwner|TenPercentOwnerOther
WETF,2020-02-03,4,1042719.41,2020-02-03,2020-02-03,True,False,True,Chief Administrative Officer|Chief Executive Officer|Global Head of Research|President,"Director,Officer|Officer"
SMPL,2020-02-03,3,841369.25,2020-01-14,2020-02-03,False,True,True,Chief Financial Officer,Director|Officer
KZR,2020-02-04,4,10394196.8,2020-02-04,2020-02-04,True,False,True,CEO|President and CSO,"Director|Director,Officer|TenPercentOwner"
CSFL,2020-02-04,3,347850.0,2020-01-31,2020-02-04,True,True,True,President and CEO|Chief Financial Officer,"Director|Director,Officer|Officer"
ARQT,2020-02-04,5,41002181.0,2020-02-03,2020-02-04,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
UFI,2020-02-05,3,1941023.0,2020-01-31,2020-02-05,True,True,True,EVP & CFO|Executive Chairman,"Director|Director,Officer|Officer"
EPD,2020-02-05,3,7751500.0,2020-02-03,2020-02-05,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
DCOM,2020-02-05,6,1125000.0,2020-02-05,2020-02-05,True,True,True,PRESIDENT AND CEO|SEVP - Chief Banking Officer|EVP - CHIEF FINANCIAL OFFICER|Senior EVP and COO,"Director|Director,Officer|Officer"
MCHX,2020-02-06,3,961074.98,2020-01-08,2020-02-06,False,False,False,,TenPercentOwner
NGM,2020-02-06,4,2866416.0,2020-02-06,2020-02-06,False,False,False,,"Director,TenPercentOwner|TenPercentOwner|TenPercentOwnerOther"
CSPR,2020-02-10,3,30199992.0,2020-02-10,2020-02-10,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
PPD,2020-02-10,5,3307500.0,2020-01-17,2020-02-10,True,False,True,Chief Executive Officer|Chief Operating Officer|See Remarks,"Director|Director,Officer|Officer"
NREF,2020-02-11,5,4350990.0,2020-02-10,2020-02-11,False,False,False,See Remarks|See Remarks|See Remarks|President,"Director|Director,Officer|Officer"
UHAL,2020-02-11,3,3130380.0,2020-02-11,2020-02-11,False,False,False,"Chairman, President","Director,Officer,TenPercentOwner|TenPercentOwner"
ADMA,2020-02-11,4,16502948.0,2020-02-11,2020-02-11,True,False,True,President and CEO,"Director|Director,Officer|TenPercentOwner"
ONEW,2020-02-11,4,5846304.0,2020-02-11,2020-02-11,True,False,True,Chief Executive Officer,"Director|Director,Officer,TenPercentOwner"
MAC,2020-02-12,3,898914.56,2020-02-12,2020-02-12,False,False,False,President,"Director|Director,Officer"
LEVL,2020-02-19,3,274320.0,2020-02-03,2020-02-19,False,True,True,EVP and CFO,Director|Officer
ALTG,2020-02-20,3,4564441.97,2020-02-06,2020-02-20,False,False,False,,Director|TenPercentOwner
BG,2020-02-20,3,3339171.36,2020-02-18,2020-02-20,True,True,True,"EVP and Chief Legal Officer|EVP, Chief Financial Officer|Chief Executive Officer","Director,Officer|Officer"
APPS,2020-02-20,3,270550.0,2020-02-13,2020-02-20,True,False,True,Chief Executive Officer,"Director|Director,Officer"
BIF,2020-02-20,3,24556904.46,2020-02-20,2020-02-20,False,False,False,,TenPercentOwner
ESSC,2020-02-24,3,5010000.0,2020-02-24,2020-02-24,False,True,True,Chairman and CFO,"Director,Officer,TenPercentOwner|TenPercentOwner"
LOPE,2020-02-24,3,244730.0,2020-02-24,2020-02-24,True,True,True,Chief Financial Officer|Chief Operating Officer|CEO,"Director,Officer|Officer"
NOG,2020-02-24,3,13115120.0,2020-01-28,2020-02-24,False,False,False,,TenPercentOwner
AMG,2020-02-24,3,1476126.36,2020-02-18,2020-02-24,True,False,True,President and CEO,"Director|Director,Officer"
R,2020-02-25,4,1223615.0,2020-02-24,2020-02-25,True,True,True,"Chair and CEO|EVP & CFO|EVP, CLO & Corp. Secretary","Director|Director,Officer|Officer"
NGL,2020-02-25,3,1578840.0,2020-02-11,2020-02-25,True,False,True,Chief Executive Officer|Executive Vice President,"Director|Director,Officer|Officer"
VVI,2020-02-25,4,553962.2,2020-02-11,2020-02-25,True,False,True,President - Pursuit|President & Chief Executive Of,"Director|Director,Officer|Officer"
TVTY,2020-02-26,4,666036.5,2020-02-26,2020-02-26,False,False,False,,Director|Other
PAGP,2020-02-26,3,2576148.02,2020-02-24,2020-02-26,True,False,True,Chairman and CEO|President & CCO,"Director|Director,Officer"
BKR,2020-02-26,3,642318.28,2020-02-24,2020-02-26,True,True,True,"Chairman, President and CEO|Chief Financial Officer","Director|Director,Officer|Officer"
HUN,2020-02-26,3,258426.0,2020-02-26,2020-02-26,True,True,True,"Sr. VP, Human Resources|Exec VP & CFO|Chairman, President & CEO","Director,Officer|Officer"
FRPT,2020-02-26,4,1190970.0,2020-02-26,2020-02-26,False,False,False,EVP of Finance,Director|Officer
SONA,2020-02-27,3,765530.0,2020-02-10,2020-02-27,True,False,True,Executive Chairman|Executive Vice President|President & CEO,"Director,Officer|Officer"
SIX,2020-02-27,3,57593475.34,2020-02-24,2020-02-27,True,False,True,"President, CEO","Director|Director,Officer"
CTVA,2020-02-27,3,1216100.0,2020-02-03,2020-02-27,False,False,False,"EVP, Chief Commercial Officer|EVP, Business Platforms",Director|Officer
GHC,2020-02-27,3,498080.06,2020-02-27,2020-02-27,False,False,False,Sr. VP-Planning and Dev.,Director|Officer
DAL,2020-02-27,3,45558985.35,2020-01-28,2020-02-27,False,False,False,,Director|TenPercentOwner
GEL,2020-02-27,5,657043.92,2020-02-21,2020-02-27,False,False,False,"President, Genesis Alkali, LLC|Vice President|General Counsel & Secretary",Director|Officer
HT,2020-02-27,3,574503.5,2020-02-27,2020-02-27,True,False,True,Chairman of the Board|President and COO|Chief Executive Officer,"Director,Officer|Officer"
PNFP,2020-02-28,3,1360265.0,2020-02-27,2020-02-28,False,False,False,,Director
BANF,2020-02-28,3,314630.0,2020-02-25,2020-02-28,False,False,False,Director|Chairman Emeritus and Director|Executive Vice President and,"Director|Director,Officer"
BJRI,2020-02-28,3,375770.0,2020-02-27,2020-02-28,False,True,True,President and CFO|Exec VP -Chief Dev.Officer,Director|Officer
FUN,2020-02-28,3,969625.0,2020-02-26,2020-02-28,False,False,False,,Director
MTDR,2020-02-28,3,333655.0,2020-02-28,2020-02-28,True,False,True,"CTO, EVP-Reservoir Engineering|President|Chairman and CEO","Director,Officer|Officer"
STLD,2020-02-28,3,769756.0,2020-02-13,2020-02-28,False,False,False,Executive Vice President|Senior Vice President,Director|Officer
VICI,2020-03-02,4,1470075.05,2020-03-02,2020-03-02,True,True,True,See Remarks|Chief Financial Officer|President and COO|Chief Executive Officer,"Director,Officer|Officer"
AKR,2020-03-02,3,406361.87,2020-02-24,2020-03-02,True,False,True,President and CEO,"Director|Director,Officer"
BSBK,2020-03-02,3,624922.75,2020-02-07,2020-03-02,False,True,True,"EVP and CFO|EVP, Compliance of Subsidiary",Director|Officer
SBH,2020-03-02,3,208602.0,2020-02-10,2020-03-02,True,False,True,President & CEO,"Director|Director,Officer|DirectorOther"
FSK,2020-03-02,3,167800.0,2020-02-27,2020-03-02,False,False,False,Co-President|Co-President and CIO,Director|Officer
AMRX,2020-03-02,4,2683773.24,2020-02-28,2020-03-02,True,False,True,"SVP, Specialty Commercial|President, Co-CEO & Director|Co-CEO and Director","Director,Officer,TenPercentOwner|Director,TenPercentOwner|Officer"
PACW,2020-03-03,5,978861.07,2020-02-28,2020-03-03,True,True,True,"Pres. & CEO, Community Banking|CEO and President|EVP, Chief Financial Officer|EVP, Chief Accounting Officer","Director|Director,Officer|Officer"
ORI,2020-03-03,3,843300.0,2020-02-28,2020-03-03,False,False,False,,Director
PASG,2020-03-03,11,45176400.0,2020-02-28,2020-03-03,False,False,False,Chief Technical Officer,"Director|Director,TenPercentOwner|Officer|TenPercentOwner"
DMTK,2020-03-03,3,3197967.8,2020-02-28,2020-03-03,False,False,False,,Director|TenPercentOwner
TPRE,2020-03-03,3,798250.0,2020-03-03,2020-03-03,True,False,True,CEO,"Director|Director,Officer"
NGVT,2020-03-03,4,756806.75,2020-02-06,2020-03-03,True,True,True,"President & CEO|EVP, CFO & Treasurer","Director|Director,Officer|Officer"
VST,2020-03-03,3,1111980.5,2020-03-03,2020-03-03,False,False,False,,Director
LDL,2020-03-04,3,322634.32,2020-03-03,2020-03-04,True,True,True,"President and CEO|EXEC VP & CFO|President, Lydall TNW","Director,Officer|Officer"
OCN,2020-03-04,3,302550.0,2020-03-02,2020-03-04,True,False,True,President & CEO,"Director|Director,Officer"
DBD,2020-03-05,3,217680.0,2020-02-13,2020-03-05,False,True,True,"SVP, Services|SVP and CFO",Director|Officer
MDP,2020-03-05,3,1185600.0,2020-02-21,2020-03-05,True,False,True,President and CEO,"Director|Director,Officer"
HTBK,2020-03-05,3,348050.0,2020-02-06,2020-03-05,False,False,False,,Director
MYOS,2020-03-05,4,1125001.13,2020-03-05,2020-03-05,True,False,True,Chief Executive Officer,"Director|Director,Officer"
LNG,2020-03-05,3,1302585.0,2020-02-27,2020-03-05,True,False,True,President and CEO,"Director|Director,Officer"
SEE,2020-03-05,4,1147250.0,2020-02-14,2020-03-05,True,True,True,President and CEO|Senior Vice President|Senior VP & CFO,"Director|Director,Officer|Officer"
CWH,2020-03-05,3,1181300.0,2020-03-05,2020-03-05,True,False,True,CHIEF EXECUTIVE OFFICER|President,"Director,Officer,TenPercentOwner|Officer|TenPercentOwner"
EBIX,2020-03-05,3,811605.0,2020-03-05,2020-03-05,True,False,True,Chairman & CEO,"Director|Director,Officer,TenPercentOwner"
HI,2020-03-05,3,472912.0,2020-02-26,2020-03-05,True,False,True,President and CEO,"Director|Director,Officer|Other"
OVV,2020-03-05,3,683185.0,2020-02-21,2020-03-05,True,False,True,Chief Executive Officer,"Director|Director,Officer"
BCO,2020-03-05,3,1795145.0,2020-03-03,2020-03-05,True,True,True,"President and CEO|EVP, Chief Financial Officer|SVP","Director,Officer|Officer"
GCI,2020-03-05,5,931868.2,2020-03-05,2020-03-05,True,False,True,Chief Executive Officer,"Director|Director,Officer"
STOR,2020-03-06,3,491750.0,2020-03-02,2020-03-06,False,False,False,"Chief Credit Officer, EVP",Director|Officer
GTES,2020-03-06,3,4695676.0,2020-02-12,2020-03-06,False,False,False,Chief Exec Officer & Director,"Director,Officer|TenPercentOwner"
NWL,2020-03-06,3,7219379.8,2020-03-03,2020-03-06,True,True,True,"President and CEO|CFO & President, Bus. Op.","Director|Director,Officer|Officer"
NOG,2020-03-06,3,13665340.61,2020-02-24,2020-03-06,False,False,False,,TenPercentOwner
PLNT,2020-03-06,4,5509400.9,2020-03-04,2020-03-06,True,True,True,Chief Executive Officer|Chief Financial Officer|President & CFO,"Director|Director,Officer|Officer"
CHDN,2020-03-06,3,902590.0,2020-03-02,2020-03-06,False,False,False,,Director
KAR,2020-03-06,3,1276261.0,2020-02-21,2020-03-06,False,True,True,EVP of Intl Mrkts & Strat Init|EVP & CFO,Director|Officer
USCR,2020-03-06,3,785767.0,2020-02-27,2020-03-06,True,False,True,Chairman and CEO,"Director|Director,Officer"
WHF,2020-03-06,3,1100401.0,2020-03-04,2020-03-06,False,False,False,,Director
RLGY,2020-03-06,3,382797.7,2020-03-03,2020-03-06,True,False,True,"Pres/CEO, Cartus Corporation",Director|Officer
RBB,2020-03-06,3,1776338.32,2020-02-28,2020-03-06,False,False,False,EVP,Director|Officer
RBBN,2020-03-06,3,255487.66,2020-02-25,2020-03-06,True,False,True,President & CEO,"Director|Director,Officer"
SM,2020-03-06,3,180725.0,2020-02-24,2020-03-06,False,False,False,VP-Marketing|EVP and General Counsel,Director|Officer
SNV,2020-03-09,3,467166.19,2020-03-05,2020-03-09,True,True,True,EVP & Chief Financial Officer|President and COO|Chairman & CEO,"Director,Officer|Officer"
BHF,2020-03-09,3,666160.0,2020-03-09,2020-03-09,True,False,True,President and CEO|EVP & Chief Investment Officer,"Director|Director,Officer|Officer"
ELAN,2020-03-09,3,388329.0,2020-02-28,2020-03-09,False,False,False,,Director
COWN,2020-03-09,3,339640.0,2020-03-09,2020-03-09,True,False,True,Chairman and CEO,"Director|Director,Officer"
MTW,2020-03-09,3,407120.0,2020-03-09,2020-03-09,True,True,True,SVP & Chief Financial Officer|President & CEO,Director|Officer
TSC,2020-03-09,3,466456.36,2020-02-28,2020-03-09,True,False,True,"CEO, Chartwell Inv. Partners|CHAIRMAN, PRESIDENT AND CEO|CEO, TSC Bank, Director TSC","Director,Officer|Officer"
EQH,2020-03-09,4,622767.3,2020-03-05,2020-03-09,True,True,True,(See Remarks)|President and CEO|Senior EVP & CFO,"Director|Director,Officer|Officer"
BPYU,2020-03-09,3,2708995.0,2020-02-27,2020-03-09,True,True,True,Chief Financial Officer|Chief Executive Officer,Director|Officer
BUSE,2020-03-09,4,729260.0,2020-03-04,2020-03-09,True,False,True,President & CEO|President/CEO Busey Bank,"Director|Director,Officer|Officer"
FFIN,2020-03-09,3,1993898.0,2020-02-10,2020-03-09,False,False,False,,Director
WMB,2020-03-09,4,1420555.0,2020-02-26,2020-03-09,True,True,True,Sr. Vice President & CFO|President & CEO,"Director|Director,Officer|Officer"
PB,2020-03-09,3,2761580.0,2020-03-09,2020-03-09,False,False,False,Chairman|President & COO|Vice Chairman,"Director,Officer|Officer"
ET,2020-03-09,4,101391161.23,2020-02-19,2020-03-09,True,True,True,CEO|Chief Financial Officer|President & CCO,"Director|Director,Officer"
AMH,2020-03-09,3,108319302.26,2020-03-03,2020-03-09,False,False,False,,Director
CQP,2020-03-10,3,26426165.04,2020-03-10,2020-03-10,False,False,False,,TenPercentOwner
PI,2020-03-10,3,841678.37,2020-03-05,2020-03-10,False,False,False,"EVP, Sales & Marketing",Director|Officer|TenPercentOwner
LKFN,2020-03-10,3,1087733.33,2020-02-28,2020-03-10,False,False,False,,Director
TEX,2020-03-10,3,678165.54,2020-02-24,2020-03-10,False,True,True,"Senior Vice President, CFO",Director|Officer
CLR,2020-03-10,3,2010670.24,2020-02-28,2020-03-10,True,True,True,Sr. VP & CFO|Chief Executive Officer,"Director|Director,Officer|Officer"
SPWR,2020-03-10,3,14379459.43,2020-02-13,2020-03-10,False,False,False,,"Director,TenPercentOwner"
CSFL,2020-03-10,4,523835.0,2020-02-27,2020-03-10,True,False,True,President and CEO,"Director|Director,Officer"
OEC,2020-03-10,3,601700.0,2020-03-03,2020-03-10,True,False,True,Chief Executive Officer|Sr. VP Global Human Resources|Chief Administration Officer,"Director,Officer|Officer"
NS,2020-03-10,4,2889264.94,2020-03-10,2020-03-10,False,False,False,,Director
BCSF,2020-03-10,4,823529.03,2020-03-02,2020-03-10,True,False,True,President and CEO,"Director|Director,Officer"
TSE,2020-03-10,3,585890.32,2020-03-09,2020-03-10,True,False,True,President and CEO|See Remarks,"Director|Director,Officer|Officer"
HMST,2020-03-10,3,553771.78,2020-03-10,2020-03-10,False,False,False,,Director
KDP,2020-03-10,3,200788230.0,2020-03-06,2020-03-10,False,False,False,Chief Commercial Officer,Director|Officer|TenPercentOwner
SMHI,2020-03-10,3,576887.83,2020-03-06,2020-03-10,True,False,True,President and CEO,"Director|Director,Officer"
SMBK,2020-03-10,3,381740.5,2020-02-10,2020-03-10,False,False,False,Chairman,"Director|Director,Officer"
DCP,2020-03-10,5,859326.0,2020-03-05,2020-03-10,True,False,True,President|President|President & CEO|Group VP & General Counsel,"Director|Director,Officer|Officer"
XAN,2020-03-11,3,208540.0,2020-03-06,2020-03-11,True,False,True,President|CEO,Director|Officer
ABCB,2020-03-11,3,277140.98,2020-03-11,2020-03-11,True,False,True,EVP & Chief Operations Officer|President & CEO,"Director|Director,Officer|Officer"
LEVL,2020-03-11,3,347515.35,2020-02-19,2020-03-11,False,False,False,,Director
GNTY,2020-03-11,4,856536.3,2020-02-11,2020-03-11,True,False,True,Chairman and CEO,"Director|Director,Officer"
WAL,2020-03-11,3,562060.0,2020-03-09,2020-03-11,True,True,True,CEO|Vice Chairman and CFO,"Director|Director,Officer|Officer"
AVYA,2020-03-11,3,470464.0,2020-03-03,2020-03-11,False,True,True,"EVP, Chief Product Officer|EVP, CAO and General Counsel|EVP & CFO",Officer
RILY,2020-03-11,4,459910.8,2020-03-09,2020-03-11,True,True,True,"Co-CEO|Chairman and Co-CEO|EVP, General Counsel, Sec|CFO & Chief Operating Officer","Director,Officer|Director,Officer,TenPercentOwner|Officer"
CODI,2020-03-11,3,4203020.42,2020-03-11,2020-03-11,False,False,False,,Other|TenPercentOwner
FDUS,2020-03-11,3,183720.5,2020-03-09,2020-03-11,False,False,False,See Remarks|President,"Director|Director,Officer|Officer"
XEC,2020-03-11,3,377764.0,2020-03-02,2020-03-11,True,False,True,CEO and President|Vice President,"Director|Director,Officer|Officer"
AFI,2020-03-11,4,491295.49,2020-03-11,2020-03-11,True,False,True,"SVP, Human Resources|SVP, Sales|President & CEO","Director|Director,Officer|Officer"
EVOP,2020-03-11,3,433336.58,2020-03-09,2020-03-11,False,False,False,,Director
TAST,2020-03-11,3,399050.0,2020-02-28,2020-03-11,True,False,True,CEO and President,"Director|Director,Officer|Director,TenPercentOwner"
UIHC,2020-03-11,3,192081.84,2020-02-24,2020-03-11,False,False,False,Chief Claims Officer,Director|Officer
ASIX,2020-03-11,4,816555.0,2020-02-28,2020-03-11,True,False,True,"Chief Executive Officer|VP, Integrated Supply Chain","Director|Director,Officer|Officer"
PK,2020-03-11,5,1435739.0,2020-03-02,2020-03-11,True,False,True,"SVP and CAO|EVP, Human Resources|CEO","Director|Director,Officer|Officer"
AROC,2020-03-11,3,483899.02,2020-02-24,2020-03-11,True,True,True,Sr Vice President and CFO|President and CEO,"Director|Director,Officer|Officer"
VBTX,2020-03-11,3,593700.0,2020-03-02,2020-03-11,False,True,True,Chief Financial Officer,Director|Officer
TNET,2020-03-11,3,35757898.73,2020-02-12,2020-03-11,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
OMF,2020-03-12,3,1126662.9,2020-02-27,2020-03-12,True,False,True,President and CEO,"Director|Director,Officer"
PSN,2020-03-12,3,1629740.0,2020-03-12,2020-03-12,True,True,True,Chairman & CEO|See Remarks|Chief Financial Officer,"Director,Officer|Officer"
MEC,2020-03-12,3,462000.0,2020-03-02,2020-03-12,True,False,True,"Chairman, Pres. & CEO","Director|Director,Officer"
PTEN,2020-03-12,4,443850.0,2020-03-09,2020-03-12,True,False,True,President & CEO,"Director|Director,Officer"
ARMK,2020-03-12,3,1633418.0,2020-03-02,2020-03-12,True,False,True,"Chief Executive Officer|COO, U.S. Food & Facilities","Director|Director,Officer|Officer"
PMBC,2020-03-12,3,260231.64,2020-02-18,2020-03-12,True,True,True,EVP & CFO|Chief Executive Officer,DirectorOther|Officer
HBT,2020-03-12,3,509135.51,2020-03-11,2020-03-12,True,False,True,Chief Executive Officer|PRESIDENT & COO,"Director,Officer|Director,Officer,TenPercentOwner|TenPercentOwner"
CTL,2020-03-12,3,603500.0,2020-03-12,2020-03-12,False,True,True,EVP and CFO,Director|DirectorOther|Officer
CINF,2020-03-12,3,447205.6,2020-03-02,2020-03-12,False,False,False,,Director
LYV,2020-03-12,3,1185317.5,2020-03-11,2020-03-12,True,False,True,President & CEO|EVP & General Counsel,"Director|Director,Officer|Officer"
TSLX,2020-03-12,3,790493.32,2020-03-02,2020-03-12,False,False,False,President|Vice President,Director|Officer
IHRT,2020-03-12,3,1626900.0,2020-03-03,2020-03-12,False,True,True,EVP-Finance & Deputy CFO,Director|Officer
CROX,2020-03-12,3,482466.75,2020-03-06,2020-03-12,False,True,True,CFO,Director|Officer
GEO,2020-03-12,3,9856642.38,2020-02-24,2020-03-12,True,True,True,"Chairman & CEO|SVP-Business Development|SVP, Chief Financial Officer","Director,Officer|Officer"
ETRN,2020-03-12,3,805800.0,2020-03-04,2020-03-12,True,False,True,President and COO|Chairman and CEO,"Director|Director,Officer|Officer"
CXP,2020-03-12,4,323083.02,2020-03-02,2020-03-12,False,False,False,Chief Investment Officer|EVP Portfolio Management,Director|Officer
SWX,2020-03-12,3,647205.0,2020-03-03,2020-03-12,True,False,True,"CEO/Centuri Group, Inc.",Director|Officer
COTY,2020-03-12,3,112561720.09,2020-02-12,2020-03-12,False,False,False,"President, EMEA",Officer|TenPercentOwner
VRRM,2020-03-13,3,258058.6,2020-03-12,2020-03-13,True,True,True,President and CEO|Chief Financial Officer|Executive Vice President,"Director,Officer|Officer"
SKYW,2020-03-13,3,1652064.23,2020-03-09,2020-03-13,False,True,True,Chief Financial Officer,Director|Officer
OXY,2020-03-13,3,498203.18,2020-03-04,2020-03-13,False,False,False,Senior Vice President,Director|Officer
MIDD,2020-03-13,4,4790895.75,2020-03-02,2020-03-13,True,False,True,Chief Executive Officer,"Director|Director,Officer"
MGPI,2020-03-13,3,341275.5,2020-02-28,2020-03-13,True,False,True,President and CEO,"Director|Director,Officer"
MOS,2020-03-13,3,370550.0,2020-03-05,2020-03-13,True,False,True,President & CEO|Senior VP - Phosphates,"Director|Director,Officer|Officer"
OKE,2020-03-13,3,1670618.65,2020-03-09,2020-03-13,True,True,True,OKE Chairman of the Board|PRESIDENT & CEO|CFO&EVP StratPlng&Corp Affairs,"Director,Officer|Officer"
NXRT,2020-03-13,3,2883367.08,2020-02-21,2020-03-13,False,False,False,See Remarks|President,"Director|Director,Officer,TenPercentOwner|Officer"
NCR,2020-03-13,5,2750945.0,2020-03-13,2020-03-13,True,True,True,"EVP and President, NCR Banking|Exec. Chairman of the Board|Chief Operating Officer|CEO & President|EVP and CFO","Director,Officer|Officer"
KALA,2020-03-13,3,119999988.36,2020-03-13,2020-03-13,False,False,False,,"Director|Director,TenPercentOwner"
TBK,2020-03-13,3,404214.0,2020-03-05,2020-03-13,False,False,False,,Director
NYMT,2020-03-13,3,691523.28,2020-03-10,2020-03-13,True,True,True,CEO|Chief Financial Officer|President,"Director,Officer|Officer"
TCRD,2020-03-13,3,288940.2,2020-03-10,2020-03-13,True,False,True,CEO|Chief Executive Officer,"Director,Officer|Officer|Other"
ENSG,2020-03-13,3,989593.01,2020-03-04,2020-03-13,True,True,True,Executive Chairman|CFO and EVP,"Director|Director,Officer|Officer"
SERV,2020-03-13,3,357201.0,2020-03-10,2020-03-13,True,False,True,"Interim CEO|President,  Terminix Commercia","Director|Director,Officer|Officer"
LNC,2020-03-13,3,1142989.16,2020-03-06,2020-03-13,True,False,True,"President & CEO|EVP & Chief Information Ofc.|EVP, Ch Pple Place Brand Off","Director,Officer|Officer"
GTE,2020-03-13,3,1048175.0,2020-03-12,2020-03-13,True,False,True,President and CEO,"Director|Director,Officer|TenPercentOwner"
COMM,2020-03-13,3,588500.0,2020-03-12,2020-03-13,True,False,True,"SVP, General Counsel & Sec|President and CEO","Director|Director,Officer|Officer"
AXS,2020-03-13,3,20347224.23,2020-03-12,2020-03-13,False,True,True,CFO,Director|Officer
WFC,2020-03-13,3,6008959.0,2020-02-28,2020-03-13,True,False,True,Vice Chairman - Public Affairs|CEO & President,"Director|Director,Officer|Officer"
FCNCA,2020-03-13,4,5644722.7,2020-02-28,2020-03-13,True,True,True,Chief Financial Officer|Chairman and CEO|Vice Chairman,"Director,Officer,TenPercentOwner|Officer|TenPercentOwner"
DOW,2020-03-13,3,1766846.5,2020-02-28,2020-03-13,True,False,True,Chief Executive Officer,"Director|Director,Officer"
MRBK,2020-03-13,3,246385.0,2020-02-27,2020-03-13,True,False,True,Chairman & CEO,"Director|Director,Officer"
SCM,2020-03-16,3,915778.76,2020-03-09,2020-03-16,False,False,False,,Director
AMED,2020-03-16,3,635950.0,2020-02-25,2020-03-16,False,False,False,,Director
WPC,2020-03-16,3,263883.6,2020-03-03,2020-03-16,False,False,False,,Director
AMCR,2020-03-16,3,1185100.0,2020-03-16,2020-03-16,True,False,True,"President,Amcor Rigid Plastics|Executive Vice President|Chief Executive Officer","Director,Officer|Officer"
IMRA,2020-03-16,11,73600000.0,2020-03-12,2020-03-16,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
OII,2020-03-16,3,192025.0,2020-03-09,2020-03-16,True,False,True,"President and CEO|Sr. VP, Operations Support","Director|Director,Officer|Officer"
THC,2020-03-16,3,1117753.8,2020-03-02,2020-03-16,True,True,True,Executive Chairman and CEO|EVP & Chief Financial Officer|President & COO,"Director,Officer|Officer"
LIND,2020-03-16,3,391833.52,2020-03-10,2020-03-16,False,False,False,,"Director|Director,TenPercentOwner"
OFIX,2020-03-16,3,856392.0,2020-02-27,2020-03-16,True,False,True,CEO,"Director|Director,Officer"
CBTX,2020-03-16,4,2249713.17,2020-03-12,2020-03-16,False,False,False,,Director
RC,2020-03-16,3,752860.0,2020-03-13,2020-03-16,True,False,True,Chief Executive Officer|Chief Investment Officer|President,"Director,Officer|Officer"
GLPI,2020-03-17,3,2896492.5,2020-02-28,2020-03-17,True,False,True,"Chairman,CEO,President","Director|Director,Officer"
LIN,2020-03-17,3,1924792.0,2020-03-09,2020-03-17,True,False,True,Chief Executive Officer,"Director|Director,Officer"
PARR,2020-03-17,3,556050.0,2020-03-17,2020-03-17,True,True,True,Chief Financial Officer|Chief Executive Officer,"Director|Director,Officer"
SUN,2020-03-17,3,445121.3,2020-03-12,2020-03-17,True,True,True,"President & CEO|CFO|SVP, Chief Operations Officer",Officer
AHH,2020-03-17,3,772081.6,2020-03-10,2020-03-17,True,False,True,"President, CEO","Director|Director,Officer"
