ticker,cluster_date,n_insiders,total_value,window_start,window_end,has_ceo,has_cfo,has_c_suite,titles_in_cluster,roles_in_cluster
TDUP,2021-03-30,4,7649978.0,2021-03-30,2021-03-30,False,False,False,,Director|TenPercentOwner
DSGN,2021-03-30,9,40211000.0,2021-03-30,2021-03-30,False,False,False,"Chief Operating Officer|Executive Chairperson|Vice President, Finance","Director|Director,Officer|Director,TenPercentOwner|Officer|Other|TenPercentOwner"
ADVM,2021-03-31,3,398400.0,2021-03-24,2021-03-31,True,False,True,CEO and Director,"Director|Director,Officer"
VFLEX,2021-03-31,5,2276029.77,2021-03-31,2021-03-31,False,False,False,Treasurer|President,Officer|Other
CTOS,2021-04-01,10,1493100000.0,2021-04-01,2021-04-01,False,True,True,"EVP - Rentals|Chief Financial Officer|VP and General Counsel|President, COO",Director|Officer|TenPercentOwner
NMTR,2021-04-05,3,450000.0,2021-04-05,2021-04-05,True,True,True,Chief Executive Officer|Chief Financial Officer,"Director|Director,Officer|Officer"
COUR,2021-04-05,3,29700000.0,2021-04-05,2021-04-05,False,False,False,,TenPercentOwner
LNDC,2021-04-12,3,4821502.71,2021-04-12,2021-04-12,False,False,False,Senior VP of Supply Chain,Officer|TenPercentOwner
RPHM,2021-04-13,5,28999980.0,2021-04-09,2021-04-13,False,False,False,,Director|TenPercentOwner
MACK,2021-04-14,3,1084197.74,2021-04-12,2021-04-14,False,False,False,,DirectorOther|Other
MBTCU,2021-04-14,3,13950000.0,2021-04-05,2021-04-14,True,True,True,Chief Financial Officer|Chairman and CEO,"Director,Officer,TenPercentOwner|TenPercentOwner"
SMMF,2021-04-15,3,700000.0,2021-04-15,2021-04-15,False,False,False,,Director
BMEA,2021-04-20,3,22005660.0,2021-04-15,2021-04-20,True,False,True,President & COO|CEO,"Director,Officer,TenPercentOwner|TenPercentOwner"
PHX,2021-04-20,5,3444684.0,2021-04-16,2021-04-20,True,True,True,VP - CFO|Chief Executive Officer,"Director|Director,Officer|Officer|TenPercentOwner"
NPCE,2021-04-21,5,25069985.0,2021-04-21,2021-04-21,False,False,False,,Director|TenPercentOwner
RAIN,2021-04-23,4,60892872.26,2021-04-23,2021-04-23,False,False,False,,"Director|Director,TenPercentOwner|Other|TenPercentOwner"
SWIM,2021-04-27,7,2318000.0,2021-04-27,2021-04-27,True,True,True,Chief Executive Officer|Gen. Counsel & Chief Admin Off|Chief Marketing Officer|Chief Financial Officer,"Director|Director,Officer|Officer"
IMPL,2021-04-27,5,52875000.0,2021-04-27,2021-04-27,False,False,False,,TenPercentOwner
MPB,2021-04-30,7,775000.0,2021-04-30,2021-04-30,False,False,False,,Director
BANC,2021-05-03,3,654694.0,2021-04-27,2021-05-03,True,False,True,PRESIDENT AND CEO,"Director|Director,Officer"
HOWL,2021-05-04,8,69172144.0,2021-05-04,2021-05-04,False,False,False,,"Director,TenPercentOwner|TenPercentOwner|TenPercentOwnerOther"
VACC,2021-05-04,5,12340000.0,2021-04-30,2021-05-04,False,False,False,,Director|TenPercentOwner
FSBC,2021-05-04,16,3991980.0,2021-05-04,2021-05-04,True,True,True,SVP & Chief Marketing Officer|President & CEO|SVP & Chief Credit Officer|SVP & Chief HR Officer|SVP & Chief Financial Officer,"Director|Director,Officer|Director,TenPercentOwner|Officer"
VST,2021-05-06,3,1926189.7,2021-05-06,2021-05-06,True,True,True,CEO|President and CFO,"Director|Director,Officer|Officer"
HZN,2021-05-07,3,1626182.24,2021-05-07,2021-05-07,False,False,False,,Director|DirectorOther
TALS,2021-05-11,4,8773224.0,2021-05-11,2021-05-11,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
HFC,2021-05-11,3,713470.0,2021-05-07,2021-05-11,True,False,True,"CEO and President|President, HFLS","Director|Director,Officer|Officer"
PFSI,2021-05-12,3,77329235.68,2021-05-10,2021-05-12,False,False,False,,Director
ELOX,2021-05-13,4,27329995.35,2021-05-13,2021-05-13,False,False,False,,Director|TenPercentOwner
EXTN,2021-05-13,3,4084600.0,2021-05-06,2021-05-13,True,False,True,President & CEO,"Director|Director,Officer|TenPercentOwner"
APP,2021-05-17,4,8984744.9,2021-04-19,2021-05-17,True,True,True,President & CFO|CEO & Chairperson,"Director|Director,Officer|Director,Officer,TenPercentOwner"
VERA,2021-05-18,6,53214607.12,2021-05-13,2021-05-18,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
TELA,2021-05-18,3,461914.14,2021-05-12,2021-05-18,False,False,False,,Other|TenPercentOwner
T,2021-05-19,3,4561610.7,2021-05-18,2021-05-19,True,True,True,CEO & President|Sr. Exec VP and CFO,"Director|Director,Officer|Officer"
PTON,2021-05-21,3,39740374.59,2021-05-19,2021-05-21,False,False,False,,Other|TenPercentOwnerOther
IMNM,2021-05-24,4,1332445.82,2021-05-24,2021-05-24,False,False,False,,Director
PCOR,2021-05-24,4,67000000.0,2021-05-24,2021-05-24,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
OPK,2021-05-25,3,2111447.73,2021-05-07,2021-05-25,True,False,True,CEO & Chairman|SVP OPKO; Exec Chairman BRLI,"Director,Officer|Director,Officer,TenPercentOwner|TenPercentOwner"
APO,2021-05-25,3,530614.15,2021-05-11,2021-05-25,False,False,False,,Director
BKSC,2021-05-26,4,200000.0,2021-05-26,2021-05-26,False,False,False,Executive Vice President|President|Executive Vice President,"Director,OfficerOther|DirectorOther"
FWAC,2021-05-27,3,27210000.0,2021-05-27,2021-05-27,True,True,True,Chairman of the Board and CEO|Chief Financial Officer,"Director,Officer|TenPercentOwner"
SFT,2021-05-27,3,212056.96,2021-05-27,2021-05-27,False,True,True,CFO|See Remarks|See Remarks,"Director,Officer|Officer"
BFST,2021-05-27,3,261728.12,2021-04-28,2021-05-27,False,False,False,,Director
SMMF,2021-05-27,3,1149971.5,2021-04-30,2021-05-27,False,False,False,,Director
BH,2021-05-28,3,4095911.18,2021-05-11,2021-05-28,True,False,True,Chairman and CEO,"Director,Officer,TenPercentOwner|TenPercentOwner"
PAY,2021-05-28,4,2849973.0,2021-05-28,2021-05-28,False,True,True,Chief Financial Officer|General Counsel and Secretary|Chief Commercial Officer,Director|Officer
FRG,2021-06-01,3,37937400.0,2021-05-12,2021-06-01,True,False,True,Chief Executive Officer|Executive Vice President,"Director|Director,Officer,TenPercentOwner|Officer"
DAWN,2021-06-01,4,14400000.0,2021-06-01,2021-06-01,False,False,False,,Director|Other|TenPercentOwner
ZIVO,2021-06-02,3,773450.0,2021-06-02,2021-06-02,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
CNTA,2021-06-02,6,57430000.0,2021-06-02,2021-06-02,False,True,True,Chief Quality Officer|General Counsel|Chief Financial Officer,Director|Officer|TenPercentOwner
CYCN,2021-06-03,3,8417431.41,2021-05-04,2021-06-03,True,False,True,Chief Executive Officer,"Director|Director,Officer|TenPercentOwner"
GCO,2021-06-03,3,641870.55,2021-06-02,2021-06-03,False,False,False,,Director
CCLP,2021-06-04,3,264740.5,2021-05-25,2021-06-04,False,True,True,Chief Financial Officer,"Director|Director,Officer"
CRC,2021-06-04,4,8655870.0,2021-05-17,2021-06-04,False,False,False,,Director|TenPercentOwner
REVG,2021-06-11,3,467992.04,2021-06-11,2021-06-11,True,True,True,Chief Financial Officer|Chief Executive Officer|Chief Human Resources Officer,"Director,Officer|Officer"
CRCT,2021-06-14,3,19724162.91,2021-05-20,2021-06-14,False,False,False,,TenPercentOwner
PROG,2021-06-14,4,47253617.84,2021-06-01,2021-06-14,False,False,False,,TenPercentOwner
UHAL,2021-06-15,3,135417922.11,2021-06-15,2021-06-15,False,False,False,Chairman/President,"Director,Officer,TenPercentOwner|TenPercentOwner"
NYCB,2021-06-15,3,633792.0,2021-06-14,2021-06-15,False,False,False,,Director
