ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix,raw_5d,spy_5d_fwd,abnormal_5d,has_ceo,has_cfo,has_c_suite,titles_in_cluster
MCHX,2021-01-04,3,192533.25,2021-01-04,2021-01-04,-0.0569192970186974,-0.5045137820836538,26.969999313354492,-1.3274323679807225,1.982040661527137,-3.3094730295078594,,,,
KFS,2021-01-04,6,383130.0,2021-01-04,2021-01-04,-0.0569192970186974,-0.5045137820836538,26.969999313354492,4.12147617608882,1.982040661527137,2.1394355145616832,,,,
CODI,2021-01-05,7,817690.07,2020-12-08,2021-01-05,-0.2256939076914295,0.5823680255135534,25.34000015258789,4.655685158425578,1.3974009667152052,3.2582841917103726,,,,
EYEG,2021-01-08,3,24022974.69,2021-01-08,2021-01-08,1.9738798746391104,3.7244580124350457,21.559999465942383,0.6518584365449068,1.3315989284948802,-0.6797404919499733,,,,
ALDX,2021-01-11,3,27608004.0,2021-01-11,2021-01-11,2.6844550622357697,2.6260077922668645,24.079999923706055,22.40740771810377,-0.0316678145780651,22.43907553268183,,,,
GTX,2021-01-11,7,5995710.3,2020-12-21,2021-01-11,2.6844550622357697,2.6260077922668645,24.079999923706055,-0.3225842845823458,-0.0316678145780651,-0.2909164700042806,,,,
RILY,2021-01-13,4,5593600.0,2021-01-13,2021-01-13,1.6704571901356762,2.2425085568081693,22.209999084472656,-3.1688093827054855,1.5272333677757803,-4.696042750481266,True,False,True,Co-CEO|Chairman and Co-CEO|President
CGEM,2021-01-14,15,69352500.0,2021-01-14,2021-01-14,-0.168802765456422,1.739300018259535,23.25,9.74913908333308,1.9110748402078723,7.838064243125206,,,,
AFRM,2021-01-15,7,25687907.0,2021-01-15,2021-01-15,-1.4583230870875292,0.4867712416283448,24.34000015258789,1.540678545260925,1.515913507618916,0.0247650376420089,,,,
PRKA,2021-01-15,4,13444622.08,2021-01-15,2021-01-15,-1.4583230870875292,0.4867712416283448,24.34000015258789,-6.976744186046512,1.515913507618916,-8.492657693665429,,,,
DXLG,2021-01-19,5,320442.2,2021-01-19,2021-01-19,-0.010552395848329,2.6736193920629026,23.239999771118164,36.000001430511475,-0.0260620699107339,36.02606350042221,,,,
BRN,2021-01-20,3,1124465.4,2021-01-20,2021-01-20,1.3517629208610218,3.382446260224356,21.579999923706055,-14.932123986717832,-2.558283381024778,-12.373840605693054,,,,
CMCT,2021-01-21,4,9674000.0,2021-01-21,2021-01-21,1.1717040552818307,2.8617340600560737,21.31999969482422,-15.299182866853329,-1.371166177056195,-13.928016689797134,False,False,False,
HBB,2021-01-26,20,2348303.57,2021-01-26,2021-01-26,1.3574375836532284,1.3467419456176783,23.020000457763672,5.137925272704501,1.9069951552881064,3.2309301174163942,,,,
HY,2021-01-26,20,12920622.0,2021-01-26,2021-01-26,1.3574375836532284,1.3467419456176783,23.020000457763672,6.150944029624312,1.9069951552881064,4.243948874336205,,,,
UONE,2021-01-26,3,8847423.3,2021-01-26,2021-01-26,1.3574375836532284,1.3467419456176783,23.020000457763672,-0.8620667920620533,1.9069951552881064,-2.76906194735016,,,,
GRBK,2021-01-27,5,87337500.0,2021-01-27,2021-01-27,-2.469474845920407,-1.151093370366527,37.209999084472656,3.149995803833008,1.1175180964178708,2.0324777074151372,,,,
DFH,2021-01-27,6,4056000.0,2021-01-27,2021-01-27,-2.469474845920407,-1.151093370366527,37.209999084472656,26.213589895793028,1.1175180964178708,25.096071799375157,,,,
PDO,2021-01-28,10,10400000.0,2021-01-28,2021-01-28,-1.7202788695098217,-0.568731391504194,30.209999084472656,0.0492509010015218,3.051354920467627,-3.0021040194661053,,,,
VYNE,2021-02-01,3,29999997.99,2021-02-01,2021-02-01,-2.122856364594937,0.1410737889734011,30.239999771118164,5.323194866162064,2.3483126692621084,2.9748821968999555,,,,
TRIN,2021-02-02,6,809200.0,2021-02-02,2021-02-02,-0.5836623901031248,0.765852340905195,25.559999465942383,3.61778875474629,2.1997929651060866,1.4179957896402031,,,,
BKSC,2021-02-02,4,232765.21,2021-02-02,2021-02-02,-0.5836623901031248,0.765852340905195,25.559999465942383,9.42375687056025,2.1997929651060866,7.2239639054541644,False,False,False,President|Executive Vice President|Executive Vice President
DCOM,2021-02-04,10,63414882.24,2021-02-04,2021-02-04,2.266773754238883,0.5075000548152955,21.770000457763672,5.8391473623580055,0.773752677657587,5.0653946847004185,,,,
EVLO,2021-02-04,8,15600000.0,2021-02-04,2021-02-04,2.266773754238883,0.5075000548152955,21.770000457763672,-4.2377852895209385,0.773752677657587,-5.011537967178525,,,,
ONTF,2021-02-05,6,1500000.0,2021-02-05,2021-02-05,4.7666616351880355,1.2614970905915857,20.8700008392334,-10.616068075346368,0.5454631231906528,-11.16153119853702,,,,
TERN,2021-02-09,14,125970000.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000055,21.6299991607666,-3.1525281168128583,0.5921761981556944,-3.7447043149685526,False,False,False,
SOWG,2021-02-09,5,900000.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000055,21.6299991607666,0.0,0.5921761981556944,-0.5921761981556944,,,,
NOG,2021-02-09,6,30000028.5,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000055,21.6299991607666,-7.739929953187742,0.5921761981556944,-8.332106151343437,,,,
VOR,2021-02-09,10,274528692.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000055,21.6299991607666,13.074288504464285,0.5921761981556944,12.48211230630859,False,False,False,
BOLT,2021-02-09,13,98000000.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000055,21.6299991607666,-6.774752261141412,0.5921761981556944,-7.366928459297107,False,False,False,
KLDO,2021-02-10,7,17307500.0,2021-02-10,2021-02-10,2.155272102974226,4.185226258475598,21.989999771118164,-11.740560503665304,0.0025506464840051,-11.743111150149309,,,,
COTY,2021-02-16,3,940735.0,2021-02-16,2021-02-16,0.4583693390929117,4.271316217177259,21.459999084472656,9.090906702543736,-1.2462034646374478,10.337110167181184,,,,
TLIS,2021-02-19,10,606148800.0,2021-02-19,2021-02-19,-0.174048046792277,0.9943240899962702,22.049999237060547,-18.199054061142377,-1.7233779620863117,-16.475676099056066,,,,
NEXI,2021-02-19,3,4094994.0,2021-02-19,2021-02-19,-0.174048046792277,0.9943240899962702,22.049999237060547,8.59178541492037,-1.7233779620863117,10.315163377006682,,,,
ATEX,2021-02-19,9,58381270.56,2021-02-19,2021-02-19,-0.174048046792277,0.9943240899962702,22.049999237060547,-1.8591663020112663,-1.7233779620863117,-0.1357883399249548,,,,
CRVS,2021-02-19,4,13849997.0,2021-02-17,2021-02-19,-0.174048046792277,0.9943240899962702,22.049999237060547,-23.85120594408276,-1.7233779620863117,-22.12782798199645,,,,
APLT,2021-02-19,3,2999982.0,2021-02-19,2021-02-19,-0.174048046792277,0.9943240899962702,22.049999237060547,-3.078985001141345,-1.7233779620863117,-1.3556070390550334,,,,
TELA,2021-02-23,4,2372390.4,2021-02-23,2021-02-23,-1.2235430806709322,-0.7707820879104089,23.11000061035156,-6.062388150952894,-1.3349808545527555,-4.727407296400139,,,,
CWH,2021-03-03,4,400756.32,2021-03-03,2021-03-03,-2.641822192173296,-2.7956783891722132,26.670000076293945,19.00285433818727,3.4191458592481503,15.58370847893912,,,,
ADC,2021-03-03,4,3104645.76,2021-02-24,2021-03-03,-2.641822192173296,-2.7956783891722132,26.670000076293945,3.5997285222727484,3.4191458592481503,0.1805826630245981,,,,
TDY,2021-03-04,3,4765978.29,2021-02-23,2021-03-04,-1.4725561366851876,-3.5882563531910328,28.56999969482422,0.958282710465468,2.5806207387572577,-1.6223380282917896,True,False,True,Executive Vice President|Executive Chairman
SPT,2021-03-04,11,21402025.04,2021-03-04,2021-03-04,-1.4725561366851876,-3.5882563531910328,28.56999969482422,9.476486774068508,2.5806207387572577,6.895866035311249,,,,
EPD,2021-03-05,3,46176547.65,2021-03-05,2021-03-05,0.8597046477141509,-1.640907851566558,24.65999984741211,1.6471476622471504,3.2327379838511674,-1.585590321604017,,,,
KBNT,2021-03-08,3,619449.75,2021-03-08,2021-03-08,-2.017540109975736,-1.3719638213128462,25.469999313354492,21.62963019476997,2.386524874938212,19.243105319831756,,,,
BH,2021-03-08,4,2186436.36,2021-03-08,2021-03-08,-2.017540109975736,-1.3719638213128462,25.469999313354492,4.2718175729234895,2.386524874938212,1.885292697985277,,,,
TWLVU,2021-03-09,3,18000000.0,2021-03-09,2021-03-09,0.1629755120324726,-0.0851731469066742,24.030000686645508,-0.299997329711914,-0.7759360689399223,0.4759387392280082,,,,
SNOW,2021-03-09,7,279984704.23,2021-03-09,2021-03-09,0.1629755120324726,-0.0851731469066742,24.030000686645508,2.2147852431768302,1.6248384182057434,0.5899468249710869,,,,
PFSI,2021-03-09,6,87810589.92,2021-03-09,2021-03-09,0.1629755120324726,-0.0851731469066742,24.030000686645508,-0.7021761858220532,1.6248384182057434,-2.327014604027797,,,,
CRC,2021-03-10,3,1325520.0,2021-03-10,2021-03-10,2.139351941817039,-0.5589881247238697,22.559999465942383,-9.01481817139568,0.9478306221854992,-9.96264879358118,,,,
FSLY,2021-03-10,5,163416626.3,2021-03-10,2021-03-10,2.139351941817039,-0.5589881247238697,22.559999465942383,-0.1988355262785303,0.9478306221854992,-1.1466661484640297,,,,
