ticker,cluster_date,n_insiders,total_value,window_start,window_end,year
CODI,2018-01-03,6,504511.36,2018-01-03,2018-01-03,2018
CRSP,2018-01-05,3,25499974.5,2018-01-05,2018-01-05,2018
MLNT,2018-01-05,3,234000009.0,2018-01-05,2018-01-05,2018
SKY,2018-01-05,3,2495133.24,2018-01-05,2018-01-05,2018
CYH,2018-01-08,5,9526130.0,2018-01-08,2018-01-08,2018
NXRT,2018-01-08,4,1557688.24,2018-01-08,2018-01-08,2018
ASPS,2018-01-09,6,59517010.62,2018-01-09,2018-01-09,2018
KALA,2018-01-10,3,9578129.82,2018-01-10,2018-01-10,2018
CHN,2018-01-10,4,1299165.7,2017-12-29,2018-01-10,2018
PCF,2018-01-12,4,382620.0,2018-01-12,2018-01-12,2018
CORI,2018-01-16,3,19186069.5,2018-01-16,2018-01-16,2018
NONE,2018-01-17,7,417573130443151.7,2018-01-16,2018-01-17,2018
BGFLX,2018-01-18,5,3175000.0,2018-01-18,2018-01-18,2018
BGNE,2018-01-18,6,1199999988.0,2018-01-18,2018-01-18,2018
ECR,2018-01-18,7,646027019.68,2018-01-18,2018-01-18,2018
COLD,2018-01-19,16,34800000.0,2018-01-19,2018-01-19,2018
VICL,2018-01-22,3,193050.0,2018-01-22,2018-01-22,2018
AGIO,2018-01-23,4,228109272.0,2018-01-23,2018-01-23,2018
CPAH,2018-01-24,3,1503750.0,2018-01-24,2018-01-24,2018
SSBP,2018-01-24,7,1141130.0,2018-01-24,2018-01-24,2018
MNLO,2018-01-25,6,26205024.0,2018-01-25,2018-01-25,2018
ALBO,2018-01-25,3,27225000.0,2018-01-25,2018-01-25,2018
LPG,2018-01-26,3,40502100.0,2018-01-26,2018-01-26,2018
EYEN,2018-01-29,6,6450000.0,2018-01-29,2018-01-29,2018
SLDB,2018-01-30,5,70439800.0,2018-01-30,2018-01-30,2018
IVAC,2018-01-30,4,2403798.32,2018-01-30,2018-01-30,2018
TORC,2018-01-30,4,27499980.0,2018-01-30,2018-01-30,2018
TPHS,2018-02-01,3,231615.75,2018-02-01,2018-02-01,2018
SGEN,2018-02-01,6,1199999736.0,2018-02-01,2018-02-01,2018
VICI,2018-02-01,8,2229000.0,2018-02-01,2018-02-01,2018
MTECU,2018-02-01,6,13500000.0,2018-02-01,2018-02-01,2018
TCPC,2018-02-02,3,258630.0,2018-01-30,2018-02-02,2018
FTSI,2018-02-02,5,50400000.0,2018-02-02,2018-02-02,2018
PBH,2018-02-05,3,666579.0,2018-02-05,2018-02-05,2018
MBII,2018-02-05,7,35000001.75,2018-02-05,2018-02-05,2018
STON,2018-02-06,11,5992380.68,2018-02-06,2018-02-06,2018
SLGD,2018-02-06,4,802655.0,2018-02-06,2018-02-06,2018
KKR,2018-02-06,7,218708000.0,2018-02-06,2018-02-06,2018
FDBC,2018-02-06,7,363825.0,2018-02-06,2018-02-06,2018
SHLX,2018-02-06,3,900000019.2,2018-02-06,2018-02-06,2018
SNYL,2018-02-07,3,426073.41,2018-02-07,2018-02-07,2018
SYNL,2018-02-07,3,426073.41,2018-02-07,2018-02-07,2018
VCTR,2018-02-08,3,4574875.0,2018-02-08,2018-02-08,2018
BW,2018-02-08,5,12497952.0,2018-02-08,2018-02-08,2018
CTIC,2018-02-08,7,132999993.0,2018-02-08,2018-02-08,2018
ONTX,2018-02-08,3,1527000.0,2018-02-08,2018-02-08,2018
HK,2018-02-09,8,115243731.0,2018-02-09,2018-02-09,2018
TNDM,2018-02-09,5,3830660.0,2018-02-09,2018-02-09,2018
ATNX,2018-02-09,3,1142500.0,2018-02-07,2018-02-09,2018
KNSA,2018-02-09,6,324000000.0,2018-02-09,2018-02-09,2018
SMPL,2018-02-09,6,9175070.0,2018-02-09,2018-02-09,2018
COTY,2018-02-12,4,337935187.0,2018-02-12,2018-02-12,2018
INSW,2018-02-12,5,316098.95,2018-02-12,2018-02-12,2018
POST,2018-02-12,3,7498693.3,2018-02-06,2018-02-12,2018
ASPS,2018-02-12,6,58164000.0,2018-02-12,2018-02-12,2018
BCO,2018-02-12,3,1133470.0,2018-02-08,2018-02-12,2018
FRSH,2018-02-12,3,797706.0,2018-02-12,2018-02-12,2018
MB,2018-02-12,6,8089998.6,2018-02-12,2018-02-12,2018
MX,2018-02-13,3,478535.2,2018-02-12,2018-02-13,2018
COGT,2018-02-13,3,406200.0,2018-02-13,2018-02-13,2018
BDGE,2018-02-13,4,2818746.6,2018-02-05,2018-02-13,2018
CODA,2018-02-13,3,1435329.0,2018-02-05,2018-02-13,2018
EPC,2018-02-13,3,500748.22,2018-02-12,2018-02-13,2018
QES,2018-02-13,11,174000000.0,2018-02-13,2018-02-13,2018
LJPC,2018-02-13,3,17175750.0,2018-02-13,2018-02-13,2018
KRG,2018-02-13,3,1803317.2,2018-02-05,2018-02-13,2018
TMUS,2018-02-14,4,173370000.0,2018-02-14,2018-02-14,2018
XTNT,2018-02-14,3,20429690.4,2018-02-14,2018-02-14,2018
RARX,2018-02-14,4,60000000.0,2018-02-14,2018-02-14,2018
MOTS,2018-02-14,3,3390000.0,2018-02-14,2018-02-14,2018
ODT,2018-02-14,4,11525880.16,2018-02-14,2018-02-14,2018
GRA,2018-02-14,3,2046456.0,2018-02-12,2018-02-14,2018
GDP,2018-02-14,3,21145035.0,2018-02-14,2018-02-14,2018
CDMO,2018-02-15,3,325001.25,2018-02-15,2018-02-15,2018
OCSI,2018-02-20,6,1644108.0,2018-02-13,2018-02-20,2018
REPR,2018-02-20,4,407160.0,2018-02-20,2018-02-20,2018
CATM,2018-02-21,3,22530552.06,2018-02-21,2018-02-21,2018
CVON,2018-02-22,3,11000000.0,2018-02-22,2018-02-22,2018
TTS,2018-02-22,3,3623644.16,2018-02-22,2018-02-22,2018
NIHD,2018-02-23,4,3411157.16,2018-02-23,2018-02-23,2018
PRIM,2018-02-26,4,407424.14,2018-02-26,2018-02-26,2018
ANGI,2018-02-26,7,35633564.54,2018-02-26,2018-02-26,2018
AIMT,2018-02-26,8,386158984.49,2018-02-22,2018-02-26,2018
MSO,2018-02-26,3,4650000.0,2018-02-26,2018-02-26,2018
BKD,2018-02-27,3,277800.0,2018-02-27,2018-02-27,2018
HGEN,2018-02-27,6,22783059.77,2018-02-27,2018-02-27,2018
PE,2018-02-28,3,5302650.0,2018-02-26,2018-02-28,2018
PIH,2018-02-28,5,3960000.0,2018-02-28,2018-02-28,2018
TRN,2018-02-28,6,187119000.0,2018-02-28,2018-02-28,2018
CMG,2018-02-28,5,402262263.24,2018-02-15,2018-02-28,2018
LAWS,2018-02-28,8,19200000.0,2018-02-28,2018-02-28,2018
STOR,2018-02-28,3,295602.5,2018-02-27,2018-02-28,2018
