ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
SOWG,2021-02-09,5,900000.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
NOG,2021-02-09,6,30000028.5,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
LHDX,2021-02-09,6,353099928.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
VOR,2021-02-09,10,274528692.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
BOLT,2021-02-09,13,98000000.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
KLDO,2021-02-10,7,17307500.0,2021-02-10,2021-02-10,2.155272102974226,4.185226258475598,21.989999771118164
IEA,2021-02-11,12,1279276440.0,2021-02-11,2021-02-11,1.1704092111600481,3.4637134942147014,21.25
COTY,2021-02-16,3,940735.0,2021-02-16,2021-02-16,0.4583693390929117,4.271316217177259,21.459999084472656
SGFY,2021-02-17,7,2109600.0,2021-02-17,2021-02-17,0.5483717732305768,2.841065059809929,21.5
UEPS,2021-02-17,3,453456.27,2021-02-17,2021-02-17,0.5483717732305768,2.841065059809929,21.5
ONCR,2021-02-18,8,45600000.0,2021-02-18,2021-02-18,0.16410173147621976,2.3229106732894507,22.489999771118164
TLIS,2021-02-19,10,606148800.0,2021-02-19,2021-02-19,-0.17404804679227703,0.9943240899962702,22.049999237060547
NEXI,2021-02-19,3,4094994.0,2021-02-19,2021-02-19,-0.17404804679227703,0.9943240899962702,22.049999237060547
ATEX,2021-02-19,9,58381270.56,2021-02-19,2021-02-19,-0.17404804679227703,0.9943240899962702,22.049999237060547
CRVS,2021-02-19,4,13849997.0,2021-02-17,2021-02-19,-0.17404804679227703,0.9943240899962702,22.049999237060547
DBTX,2021-02-19,8,165749940.0,2021-02-19,2021-02-19,-0.17404804679227703,0.9943240899962702,22.049999237060547
APLT,2021-02-19,3,2999982.0,2021-02-19,2021-02-19,-0.17404804679227703,0.9943240899962702,22.049999237060547
SAII,2021-02-23,3,22697977.95,2021-02-23,2021-02-23,-1.2235430806709322,-0.7707820879104089,23.110000610351562
FSII,2021-02-23,4,24100000.0,2021-02-23,2021-02-23,-1.2235430806709322,-0.7707820879104089,23.110000610351562
TELA,2021-02-23,4,2372390.4,2021-02-23,2021-02-23,-1.2235430806709322,-0.7707820879104089,23.110000610351562
CFVI,2021-02-25,4,28000000.0,2021-02-25,2021-02-25,-2.14732071953568,-1.986742778540566,28.889999389648438
ARNC,2021-03-01,4,447871.0,2021-03-01,2021-03-01,0.658869239849138,-0.7793745316710394,23.350000381469727
FWAA,2021-03-01,3,31425000.0,2021-03-01,2021-03-01,0.658869239849138,-0.7793745316710394,23.350000381469727
DRTT,2021-03-01,5,2604595.0,2021-03-01,2021-03-01,0.658869239849138,-0.7793745316710394,23.350000381469727
STSA,2021-03-02,4,27999991.68,2021-03-02,2021-03-02,-0.24774489542728995,-1.4682567105725064,24.100000381469727
CWH,2021-03-03,4,400756.32,2021-03-03,2021-03-03,-2.641822192173296,-2.7956783891722132,26.670000076293945
ADC,2021-03-03,4,3104645.76,2021-02-24,2021-03-03,-2.641822192173296,-2.7956783891722132,26.670000076293945
PRMW,2021-03-03,3,3809990.0,2021-03-02,2021-03-03,-2.641822192173296,-2.7956783891722132,26.670000076293945
FLME,2021-03-03,3,5200000.0,2021-03-03,2021-03-03,-2.641822192173296,-2.7956783891722132,26.670000076293945
TDY,2021-03-04,3,4765978.29,2021-02-23,2021-03-04,-1.4725561366851876,-3.5882563531910328,28.56999969482422
TPGY,2021-03-04,3,14006856.51,2021-03-04,2021-03-04,-1.4725561366851876,-3.5882563531910328,28.56999969482422
