ticker,file_date,abnormal_gap,raw_gap,intraday_after_gap
MIRM,2020-01-09,-1.9086198139388943,-1.3816055804714344,-4.256511903404148
ADPT,2020-01-24,4.140512252781958,4.357542121680602,10.133222946906018
CLVT,2020-02-07,0.2537971565523267,-0.09353859307785761,-0.5627775240497068
DT,2020-02-21,-2.8667493348796147,-3.306013532420504,-1.6277349098224536
IMVT,2020-04-14,-3.8592011346112787,-1.9292616530873885,11.458943620550889
PLSE,2020-05-14,-0.982022100190183,-1.9230709914687005,0.025510825788166436
FSLY,2020-05-21,-2.820749344493756,-2.86789185342452,7.7345517824995
INVH,2020-06-03,0.20501890088227004,0.9061243468789115,-0.6971638620554499
DT,2020-06-03,-5.5148134572239105,-4.813708011227269,2.888961268666135
CLVT,2020-06-05,-1.4388497449432158,0.44643028202109303,-0.7095733747220945
GLOB,2020-06-05,-6.897670703817183,-5.012390676852874,2.3161645179126333
BILL,2020-06-11,1.3636756794253468,-1.0000000000000009,0.8707975531668133
SITM,2020-06-12,-0.21690135642289388,2.3213142412056076,8.02384034328415
BWIN,2020-06-25,4.519887270186517,4.316021574945328,14.710237926902426
AHCO,2020-07-02,-0.718719897747766,0.47923402181710983,6.627968477577761
MARA,2020-07-27,31.497040672056542,31.73077452112252,3.1552758196498054
IRTC,2020-08-19,4.588728512555451,4.7097698009275435,13.965236162080618
GTM,2020-08-21,-0.5772453968986846,-0.6836663946324983,-2.950391003700892
IMVT,2020-09-03,-2.4532886999841907,-2.964887820619344,2.542849097706157
TXG,2020-09-11,-1.908306559912143,-1.3302811274888526,12.13123604016926
ADT,2020-09-16,-12.523552347149092,-12.129628525839864,-0.5821853078192385
ADT,2020-09-17,0.3192031573493126,-1.2332366015783802,-1.1178449511482835
BEAM,2020-10-01,-1.932744761107108,-1.0966711964258358,0.5620928993931518
ARQT,2020-10-05,0.6225747772477863,1.287558601856098,-0.9315101904855849
RPRX,2020-10-19,1.0195501680550612,1.4111578411062808,-3.1191030199771657
ORIC,2020-11-13,1.5000833283561388,2.083333333333326,-2.796581151908528
BSY,2020-11-16,-0.32086236649051525,0.48339366460283806,3.2877406911066887
BEKE,2020-11-19,-5.400134113547505,-5.590965985570029,2.1575138295957252
GTM,2020-12-02,-7.266564640378958,-7.5944071906366535,-3.430041344918233
ARRY,2020-12-04,0.7208369022450256,0.8926072759953385,-6.439389255540761
VNT,2021-01-12,-0.599726370981013,-0.5469093086719501,-1.5891541068309922
VNT,2021-01-14,2.7553473592722977,2.965995200965632,1.9434532983381936
LMND,2021-01-14,-3.1205206946195663,-2.909872852926232,-7.020516264692777
SMMT,2021-01-20,-1.0328069189694755,-0.3831414124593202,1.3859313544635654
DYN,2021-01-21,-6.886029993040066,-6.729758254764673,-20.115364806932877
ASO,2021-01-29,-0.8467137158088334,-1.3763455269016012,4.945045943659299
OPCH,2021-02-08,-0.7040258703679747,-0.30165644938937586,0.3370178267151136
ALGM,2021-02-08,0.6244588680526242,1.026828289031223,0.7962042898785215
OPCH,2021-02-10,-0.5829259793500352,-0.10373681043240879,-2.4911711166421546
BEPC,2021-02-12,0.4191230391028422,0.19900589303709637,-0.35816391550331783
GTES,2021-03-01,0.29163927092150654,1.6666666666666607,0.4078493517751802
NRIX,2021-03-05,4.880571525203292,5.878731144166083,5.358646744686091
OPCH,2021-03-17,-0.2529366759551843,-0.6015079430789827,-0.6919653751995991
SHC,2021-03-18,-0.9224001123097181,-1.6222020883336241,-5.358962943620716
STEP,2021-03-19,0.5401874607821933,0.4576614791054867,10.157915283703524
ARRY,2021-03-22,0.46590082727619997,0.6070836677626312,-0.08646280830408859
QS,2021-03-26,-0.05469165949525401,0.2609239563062582,-5.065384573190079
GSAT,2021-03-30,-1.3230294931639741,-1.6666624281141518,10.090890978288902
NTST,2021-04-08,5.580461614217835,5.910047518461559,-0.5890769603956514
MRVI,2021-04-09,1.9265492295566844,1.8947400544819137,1.543167209097751
UPST,2021-04-12,0.516926790701433,0.361378805219692,-12.160975927685369
SMMT,2021-04-21,-0.61655067482842,-0.7766982740254447,5.545500433494022
RCAT,2021-04-30,-15.504184122495323,-16.082675679765167,-5.152037686512578
RLAY,2021-05-06,-0.11791927128822488,-0.09868019629378777,-4.697511695884016
ASO,2021-05-07,0.3041951193890613,0.4998594682568358,-1.613588060190263
PRAX,2021-05-14,5.838882733267936,6.55301474230503,7.6844352298161
GLOB,2021-05-26,3.567675228273526,3.718280482337688,-2.5523267342095646
ZIM,2021-06-04,-1.3285730815926433,-0.8557785990896294,-1.8206975812172677
CLVT,2021-06-08,0.3785781913176356,0.5964830606046467,-2.5017313184108048
OPCH,2021-06-10,-0.3106754812315593,0.0,1.6082313633195344
GENI,2021-06-11,1.2524672710166218,1.3917549642927574,-3.788000757114629
PECO,2021-07-16,0.3209833288133179,0.6108204940173945,0.8925107033673996
SHLS,2021-07-16,0.8700022441994859,1.1598394094035624,-1.7952740196964467
OPCH,2021-08-05,0.8974730259033947,1.1799398688186802,3.6346224275786376
DRVN,2021-08-06,-0.8632801806136237,-0.7863232213207838,-0.6050953294888917
GTES,2021-08-13,-0.04759268023937224,0.06024234127728345,0.4677802138616016
VRRM,2021-08-19,-1.9460768691987873,-2.6086916028369322,1.2375501690603086
GENI,2021-09-08,-8.934768777881485,-9.061025666466138,14.967169722641405
OPCH,2021-09-09,0.3493336652009904,0.30280061875487263,-1.505163614552485
MRVI,2021-09-13,-0.6971561229289547,0.0212368758376158,-2.8111636167713394
GLBE,2021-09-13,1.3841229328368732,2.1025159316034436,3.2606024920413756
CLVT,2021-09-13,0.3342385801808012,1.0526315789473717,1.1675053721837636
ASO,2021-09-16,1.1267680869693653,1.0017511651684519,-0.6564202156704058
FIGS,2021-09-17,1.6695604512036666,1.4851510969098536,-3.4829424822972355
INVH,2021-09-27,0.19734211606512453,-0.05046608922465445,-2.5878680819406585
EQT,2021-09-30,-0.16853417640578794,0.19285337222703092,0.03795351926362267
GENI,2021-09-30,-0.5947539990591166,-0.23336645042629778,10.700707121598262
FA,2021-11-12,-1.250660075142751,-0.95958268529025,1.6285241774746773
ALHC,2021-11-19,-0.34260648211456024,-0.36815428159839847,0.6152080120565673
DV,2021-11-19,2.097589881539952,2.0720420820561136,-1.3769803523356328
EQT,2021-11-22,-0.8588264057588613,-0.4322835962583427,1.476876970689378
PRVA,2021-11-22,-0.9118159295902983,-0.48527312008977974,-1.8027852573995085
APP,2021-12-06,-0.80083611543178,-0.2031459894002552,-4.354323630597445
VRRM,2021-12-09,0.4266320314389005,0.13486485412383953,-1.837732103912959
CNM,2022-01-07,-0.4755110527182138,-0.47337608452706625,1.2694644022309354
PWP,2022-01-20,-0.44273784718540377,9.056318561739829e-06,-3.9355621401857332
VERA,2022-02-11,1.6091960261807703,1.6292186963893007,4.6448997820943365
RYZ,2022-05-12,-2.1480490742403546,-3.0086552804728273,0.2841407994081946
CDRE,2022-06-13,0.5908864710479134,-1.9616951322347198,-6.345857982373126
ACLX,2022-06-16,-10.358599760458441,-12.650252841070685,-0.5309261696829215
SMMT,2022-07-18,0.06520597745447443,0.9090900224102638,1.6555931291368453
OPCH,2022-08-18,-0.14264347050502169,-0.09342503496311272,-0.49068603610824546
CRGY,2022-09-09,-0.09774698504598778,0.49169906623300896,-4.016542589872662
AMLX,2022-10-07,0.7982955765775013,-0.3351633497087114,0.9106386440356329
DV,2022-11-14,0.3129445598477165,-0.15128939001275432,-1.1269061222597299
ESAB,2022-11-17,-0.779404398001915,-2.0412662640020285,2.0217180506484134
SMMT,2023-02-07,-0.7724696256578567,-1.0067104428777118,-12.732171382312163
ENLT,2023-02-13,-1.011714119426943,-0.8450682734099879,0.13078230531624602
RYZ,2023-02-27,-0.04785787176695422,0.8325942978925749,2.5568183771286
OPCH,2023-03-03,-0.19696259928474458,0.2806365869794991,2.019726697806745
DV,2023-03-07,0.4235624445019237,0.4112172349591159,-0.34080176087071257
RYZ,2023-05-05,1.7757649211540771,2.708827384622814,-6.156988037119559
RYAN,2023-05-24,-0.8208986358472448,-1.22419214794095,-0.45515108128654225
GEHC,2023-06-08,-3.9055892075715026,-3.889178785757552,-0.0712159843123894
SKWD,2023-06-08,1.4697908215344224,1.486201243348373,1.8802720286042351
MBLY,2023-06-08,-5.50813690276365,-5.4917264809496995,0.9920014700576241
ATAT,2023-06-08,-2.696684740917865,-2.6802743191039147,0.6575509916567635
MSGE,2023-06-26,-0.7293311965160587,-0.8655294976933736,-2.3465158449668344
NXT,2023-06-30,0.1847805966481042,0.9448835295783331,3.093329584659732
EOSE,2023-06-30,-3.7012791190433547,-2.941176186113126,-9.7167062812752
RYZ,2023-08-07,-0.7253369533589349,-0.30010667884327047,-1.3821729686789963
DV,2023-08-08,-1.6526017934117787,-2.2361358960273248,-0.454507870879739
GENI,2023-09-14,-11.003796048649361,-10.430465536752065,4.518663898119035
GENI,2023-09-18,-0.10357956623087139,-0.17575094518929024,0.7493704814058866
MSGE,2023-09-21,0.45631344955467945,-0.21393548964762088,1.6017602247653473
KNF,2023-11-06,4.920169926681894,5.09961791668021,2.4886084347060855
KNF,2023-11-08,0.5628276377539931,0.7047332644978255,0.48126409587722074
DV,2023-11-14,-0.8109930739993887,0.5815780077223165,0.32735991050591995
